nombre,estrellas,precio_noche,fecha_reserva
ibis budget Madrid Centro Lavapies,4.3,106,2025-02-19
ibis Styles Madrid Centro Maravillas,4.7,114,2025-02-19
ibis budget Madrid Calle 30,4.4,79,2025-02-19
ibis Madrid Centro las Ventas,4.5,90,2025-02-19
ibis budget Madrid Centro las Ventas,4.3,75,2025-02-19
ibis Styles Madrid City Las Ventas,4.6,98,2025-02-19
ibis budget Madrid Calle Alcalá,4.3,71,2025-02-19
ibis Madrid Calle Alcalá,4.5,78,2025-02-19
ibis budget Madrid Vallecas,4.3,70,2025-02-19
ibis Madrid Getafe,4.4,64,2025-02-19
